Upshub,Van Zandt.* ,,,,,
Van Zandt,Jones. ^ ,,,,,
On the 18th. ultimo I had the honor,make a communication to ,,,,,
honor,submit for your information, and consideration a com- ,,,,
tangible shape, it comes,the point, and presents the issue; Are we ,,,
ready,negotiate a treaty of annexation, or not t ,,,,
more settled, than that of annexation,this country. The instruc- ,,,,
change in the mind of the Government, as,its wishes in regard to ,,,,
the question, but that the desire of the Government still was,be ,,,,
using every effort,obtain a peace with Mexico, not perceiving that ,,,,
ment, and that the powers will be furnished,the Texian Representa- ,,,,
tive here,conclude such a treaty. This opinion, as an individual, ,,,
I have expressed,the Secretary of State, at the same time dis- ,,,,
Â« Oetober 10, IMS. See Van Zandt,Jodm, Oetober 10 1848,,,
Â» Octoberl6 1843,,,,,,
eminent degree,advance the welfare, and prosperity of the country, ,,,
I have thought it my duty,dispatch this communication by a ,,,,,
special messenger, in order,apprise your Department as early as ,,,,
the determination of the Government. Having no means,employ ,,,,,
a special agent for this purpose, and moreover, as it is difficult to ,,,,
facts which it would be important,be known,your department ,,,,
touching this matter, all of which are familiar,Mr. Raymond ,,,,
Secretary of Legation, at my request he has consented,take charge ,,,,
refer you for information in regard,many matters bearing on ,,,,,
sented,this Government, have there been so many circumstances ,,,,
combining,secure the favorable action of the Senate of the United ,,,,,
Parliament, in reply,the interrogatories of a certain Noble Lord, ,,,
show the designs of the British Government in regard,the institu- ,,,,,
question, one of vital importance,the slave holding states. The ,,,,
in Texas, and thereby monopoUzing her growing trade, seems to ,,,,
Oregon, in order,wrest it from the grasping power of Great Britain â€” ,,,,
have sufficient members,carry it. Should the treaty be con- ,,,,,
host in itself. It has been told me, and by one entitled,confidence ,,,,
order,prosecute measures,secure their claims. Then, if under ,,,
with a fervent wish that his decission may redound,the welfare and ,,,,,
of a Secretary, Mr. Raymond had expressed,me his intention, at an ,,,
early day, to tender,the President his resignation. Now, should ,,,
the Government decide,make the treaty of annexation, I conceive ,,,,
fest it,Mr. Raymond, that he may be induced,continue his ,,,
It is but due,Mr. Raymond, and it affords me. much pleasure on ,,,,
this occasion,bear testimony,your Department, of the prompt- ,,,
official duties, and while I most cordially commend him,you, I feel ,,,
If the Grovemment determine,furnish,its agent here full powers ,,,,
I have also the honor herewith,communicate,the Department ,,,,
this letter, I addressed a note,Mr. Brower acquainting him of the ,,,,
The two statements, between which there appears,be a very great ,,,,
variance, contain all I have learned in relation,the occurrence. ,,,,
Unless other testimony be adduced,show his culpabiHty, I appre- ,,,,
for the Department,address a communication,Mr. Brower, ,,,
with him, pertaining,the consulate. ,,,,
I have tixe honor,be with the highest sentiments of regard ,,,,,
[Next come copies of the following: Upshur,Van Zandt, October ,,,,
16 1843,,,,,,
Brower,Van Zandt, October 10 1843,,,,
Van Zandt,Upshur.'^ ,,,,,
Van Zandt,Jones.*' ,,,,,
Van Zandt,Jones.** ,,,,,
I have the honor,acknowledge the receipt on yesterday of your ,,,,,
War and Marine directed,Col Jacob Snively with the report of ,,,,,
require some little time,execute all your instructions, I deem it ,,,,
proper first,submit for your consideration some reflections of mine ,,,,,
upon some of the points,which my attention has been directed, ,,,,
b October 19 1843,,,,,,
Annexed you will find a copy of my reply,Mr Upshnrs note upon ,,,,,
stood,make no intimation of Opinion upon the subject but simply ,,,,,
the determination of the Grovemment. This question app&gt;ears to ,,,,,,
every prominent man I meet. The opinion of those friendly,the ,,,,,
stances combining,facilitate its ratification. Mr Adams mani- ,,,,,
fests great alarm. In a speech of more than two hours length to ,,,,,,
hope that before this, you have received my despatches in regard to ,,,,,
The instructions final have been sent,Gov Butler who is Com- ,,,,,
missioner,meet the Indians. I found it impossible,obtain the ,,,,
sanction of this Government,conclude such a treaty as would make ,,,,,
commissioner is however directed,use all his powers,affect [sic] ,,,,
of Indian affairs has Ukewise addressed letters,the principal chiefs ,,,,,
of the Cherokee, Choctaw, Chickasaw and Creek Nations,persuade ,,,
them not,oppose but,use their influence with the wild Indians ,,,,
to induce them,conclude a peace with Texas. From the tenor ,,,,,
entirely convenient for our Government. In regard,this I can ,,,,,
the Department may be able,carry out the arrangements ,,,,,
Since the date of my last dispatch,your department I have fre- ,,,,,
collector of Bed Biver. He has universally replied,me that he ,,,,,
had not yet been able,procure all the testimony upon the subject ,,,,,
but that he hoped soon,receive it when he would at once take it ,,,,,
up In your communication now before me I am instructed,make ,,,,,
that the goods had been ordered,be released and communicated ,,,,,
at the same time a copy of those orders. I take this,be the rule ,,,,,
release the property is wrested from his possession and returned to ,,,,,,
its original possessor, though the party would be liable,a prosecu- ,,,,
affect his title,the property or make him liable for its value at the ,,,,,
equivocal I shall seize the earliest opportunity,make the demand ,,,,,
point in this case,which I call your attention. Col Bourland states ,,,,,
ment I think it will be difficult,identify the officer in any manner ,,,,,
with the outrage. I would therefore suggest,your Department ,,,,,
the propriety of calling on Col Bourland,procure such testimony ,,,,,
as he may be able,obtain touching this particular point and com- ,,,,,
municate the same,me as early as possible Since the date of my ,,,,,
letter,Mr Upshur Secretary of State upon the subject of Dr Rob- ,,,,,
up,the present time I regret,have,say that no deffinite action ,,,
presented and urged many objections,delivering up the negroes, ,,,,
all of which I think I have met successfully not only,my satis- ,,,,,
the subject Mr Upshur said that he would confess,me candidly ,,,,,
that he was convinced that the United States ought,deliver up the ,,,,,
negroes and that he was anxious himself,do so but that the oppo- ,,,,,
unable,procure the sanction of the President,that course. I ,,,,
nigh tantamount in its effects,a rejection and a longer procrasti- ,,,,,
nation of the. question could not fail,be viewed by the President ,,,,,
of the United States,avoid the performance of an act manifestly ,,,,,
would do all he could,accord,Texas her rights but in the mean ,,,,
border difficulties, should be permitted,interpose obstacles,the ,,,
Texas,cultivate the most friendly relations with the United States, ,,,,
but at the same time I thought nothing could so much contribute to ,,,,,,
I am gratified,receive your instructions upon the subject of the ,,,,,
demands reperation. I was strongly inclined,act on this matter ,,,,,
I would have had,rely upon newspaper statements which were ,,,,,
uncertain and contradictory I finaUy concluded,await the receipt ,,,,,
of intelligence from your Department in regard,it. I shall imme- ,,,,,
diately make the coAununication,this Grovemment upon the sub- ,,,,,
I will see the President on Monday, (to day being Saturday and ,,,,,
delivery of the refugee Henley ^ and will write,Genl Henderson the ,,,,,
I am exceedingly gratified,find that amidst all our difficulties ,,,,,
of a proper policy find herself again restored,peace and prosperity. ,,,,,
P. S. Please remember me,the President and Gent of the Cabinet ,,,,,
[Next comes a copy of Van Zandt,Upshur, October 19 1843,,,,
Van Zandt,Upshur.** ,,,,,
a Here is omitted a paragraph referring,Van Zandt's salary. ,,,,,
&lt;i November 10 1843,,,,,,
A Gentleman op Texas,Secretary op State [Upshur].** ,,,,,
Upshur,Murphy.* ,,,,,
Van Zandt,Jones.** ,,,,,
I have the honor,enclose you a copy of my communication of the ,,,,,
10th Instant,the Hon. A P Upshur Secretary of State of the United ,,,,,
difficulties have arisen and the usual course seems,be,make the ,,,,
is first somewhat left,the magnanimity of the party who has com- ,,,,,
promptly,vindicate our rights when thus rudely assailed. In con- ,,,,,
nexion with this subject I would submit,your Department whether ,,,,,
we ought not,require of this Government that for the indignity ,,,,,
offered,our flag it should be hoisted in some of the Western Garri- ,,,,,
we ought,require it Some time since I had an interview with the ,,,,,
unable,say what would be the final determination of the President ,,,,,
but promised,advise me at the earliest day possible. I asked him ,,,,,
ous,dispense with his services but that he was at a loss in regard ,,,,,
President in regard,Genl Gains's letter he said that such latitu- ,,,,,
was General Gaines authorized,promulgate them In regard to ,,,,,
perplexing one and he was at a loss,know what,do in relation to ,,,,
Texian Government,know and that by an official declaration ,,,,,
ment will attempt,stave off this matter at present as [it did] the ,,,,,
answer soon I shall deem it my duty,urge their consideration in the ,,,,,
favor, though some are very hostile,the measure. The Opinion ,,,,
of members of Congress friendly,it is that if the treaty is concluded ,,,,,
President wiU not (as has been expected here) allude,it in his ,,,,,
Mr Fox the British Minister is,be recalled Mr Packenham ,,,,,
formerly Minister at Mexico is,succeed him, this however is yet ,,,,
the Globe of this city is making ready,wield its mighty force on ,,,,,
party are trying,bring him over,the measure. I fear it cant ,,,,
Clay could eflfect this object, but I fear he will be disposed,take ,,,,
I expect,send this by a Gentleman who leaves in a day or two ,,,,,
as bearer of dispatches,Genl Murphy. ,,,,,
[Inclosed is a copy of Van Zandt,Upshur, November 10 1843,,,,
Murphy,Jones.'* ,,,,,
Government of the RepubUc of Texas, has,perform the painful ,,,,
duty of communicating,you, the circumstances incident, to a most ,,,
(copies of which, will be furnished,the Government of Texas, if ,,,
intoxicating Liquors,the deceased and another Choctaw Indian, ,,,,
the back part of the Head,the front Temple, protruding one eye ,,,,
To you sir, or,your Government, I need not describe the deep ,,,
States, near the scene of murder, to check the exasperated warriors, ,,,
indiscriminate slaughter of the first victims that chanced,fall in ,,,,,
This vigelance and prompt action, of our officers, I am happy to ,,,,
say, was instantly put in operation, and an effort,bring the mur- ,,,
